PartyCode,PARTYNAME,Invoice_No,LensType,Base,Addition,Ct,Ltype,Currency,EntryDate,Qty,Rate,Invoice_Date,movnoming,Item_code,Pair_Pcs,grp
A179,,148/24-25 DTD.31.07.2024,SS-PGT&D-70-1.5-S,7.25,6,6.5,U,,,6,14.83,,,,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-PGX-65-1.5-S,4.25,6,9.5,U,,,569,4.5,,,0029157518,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-PGX-70-1.5-S,6.25,6,9.5,U,,,100,5.02,,,0029157427,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-POLAR-GY3  SV-70-1.5,8.25,6,10.5,U,,,1,17.69,,,0029163839,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 BROWN  1.67 SFSV  80MM HC,0,7.8,5,U,,,10,10.5,,,0029186707,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 BROWN  1.67 SFSV  80MM HC,2,7.8,5,U,,,13,10.5,,,0029186715,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 BROWN  1.67 SFSV  80MM HC,4,5.7,5.5,U,,,16,10.5,,,0029186723,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 BROWN  1.67 SFSV  80MM HC,6,5.7,7,U,,,18,10.5,,,0029186731,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 BROWN  1.67 SFSV  80MM HC,8,5.7,10.6,U,,,6,10.5,,,0029186749,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 BROWN  1.67 SFSV 75MM HC,0.5,7.8,5.3,U,,,2,9,,,0029187358,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 BROWN  1.67 SFSV 75MM HC,8,5.7,10.6,U,,,4,9,,,0029187390,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV  80MM HC,0,7.8,5,U,,,2,10.5,,,0029186657,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV  80MM HC,2,7.8,5,U,,,5,10.5,,,0029186665,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV  80MM HC,6,5.7,7,U,,,13,10.5,,,0029186681,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV  80MM HC,8,5.7,10.6,U,,,1,10.5,,,0029186699,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV 75MM HC,0.5,7.8,5.3,U,,,44,9,,,0029187309,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV 75MM HC,2,7.8,5,U,,,74,9,,,0029187317,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV 75MM HC,4,5.7,6.5,U,,,135,9,,,0029187325,PIECES,
A179,,148/24-25 DTD.31.07.2024,SS-Q SHADE+ MR-10 GRAY 1.67 SFSV 75MM HC,6,5.7,7.5,U,,,98,9,,,0029187333,PIECES,
